map,map_path,size,emitters_total,emitter_fraction,islands,islands_ge_min,island_size_median,island_size_max,mean_dist_to_food,max_dist_to_food,mean_island_spacing,open_regions,open_regions_all,largest_open_fraction,emitters_type1,emitters_type2,emitters_type3,switch_cost,dist_to_2nd_type,types_measured,food_types_present,diet_penalty_exponent,diet_penalty_strength,meat_nutrition,predation_enabled,map_sha1,metrics_version
map_500_d05_dietp000,maps/diet_sweep/map_500_d05_dietp000.json,500,672,0.00269,3,3,224,224,76.47,215,206.17,4,4,0.955,224,224,224,92.3,168.78,3,3,0.0,1.0,1.0,False,b62fad612da7,1
map_500_d05_dietp050,maps/diet_sweep/map_500_d05_dietp050.json,500,672,0.00269,3,3,224,224,76.47,215,206.17,4,4,0.955,224,224,224,92.3,168.78,3,3,0.5,1.0,1.0,False,b62fad612da7,1
map_500_d05_dietp100,maps/diet_sweep/map_500_d05_dietp100.json,500,672,0.00269,3,3,224,224,76.47,215,206.17,4,4,0.955,224,224,224,92.3,168.78,3,3,1.0,1.0,1.0,False,b62fad612da7,1
map_500_d05_dietp150,maps/diet_sweep/map_500_d05_dietp150.json,500,672,0.00269,3,3,224,224,76.47,215,206.17,4,4,0.955,224,224,224,92.3,168.78,3,3,1.5,1.0,1.0,False,b62fad612da7,1
map_500_d05_dietp200,maps/diet_sweep/map_500_d05_dietp200.json,500,672,0.00269,3,3,224,224,76.47,215,206.17,4,4,0.955,224,224,224,92.3,168.78,3,3,2.0,1.0,1.0,False,b62fad612da7,1
map_500_d05_predation_dietp000,maps/diet_sweep/map_500_d05_predation_dietp000.json,500,672,0.00269,3,3,224,224,76.47,215,206.17,4,4,0.955,224,224,224,92.3,168.78,3,3,0.0,1.0,1.0,True,b62fad612da7,1
map_500_d05_predation_dietp050,maps/diet_sweep/map_500_d05_predation_dietp050.json,500,672,0.00269,3,3,224,224,76.47,215,206.17,4,4,0.955,224,224,224,92.3,168.78,3,3,0.5,1.0,1.0,True,b62fad612da7,1
map_500_d05_predation_dietp100,maps/diet_sweep/map_500_d05_predation_dietp100.json,500,672,0.00269,3,3,224,224,76.47,215,206.17,4,4,0.955,224,224,224,92.3,168.78,3,3,1.0,1.0,1.0,True,b62fad612da7,1
map_500_d05_predation_dietp150,maps/diet_sweep/map_500_d05_predation_dietp150.json,500,672,0.00269,3,3,224,224,76.47,215,206.17,4,4,0.955,224,224,224,92.3,168.78,3,3,1.5,1.0,1.0,True,b62fad612da7,1
map_500_d05_predation_dietp200,maps/diet_sweep/map_500_d05_predation_dietp200.json,500,672,0.00269,3,3,224,224,76.47,215,206.17,4,4,0.955,224,224,224,92.3,168.78,3,3,2.0,1.0,1.0,True,b62fad612da7,1
map_500_d01,maps/map_500_d01.json,500,672,0.00269,3,3,224,224,104.91,215,73.06,4,4,0.955,224,224,224,33.2,138.11,3,3,1.0,1.0,1.0,False,f28e4bd83d65,1
map_500_d01_predation,maps/map_500_d01_predation.json,500,672,0.00269,3,3,224,224,104.91,215,73.06,4,4,0.955,224,224,224,33.2,138.11,3,3,1.0,1.0,1.0,True,f28e4bd83d65,1
map_500_d02,maps/map_500_d02.json,500,672,0.00269,3,3,224,224,94.81,215,106.35,4,4,0.955,224,224,224,48.69,143.5,3,3,1.0,1.0,1.0,False,4fca92577b60,1
map_500_d02_predation,maps/map_500_d02_predation.json,500,672,0.00269,3,3,224,224,94.81,215,106.35,4,4,0.955,224,224,224,48.69,143.5,3,3,1.0,1.0,1.0,True,4fca92577b60,1
map_500_d03,maps/map_500_d03.json,500,672,0.00269,3,3,224,224,86.74,215,139.79,4,4,0.955,224,224,224,63.69,150.43,3,3,1.0,1.0,1.0,False,8f9abb15c011,1
map_500_d03_predation,maps/map_500_d03_predation.json,500,672,0.00269,3,3,224,224,86.74,215,139.79,4,4,0.955,224,224,224,63.69,150.43,3,3,1.0,1.0,1.0,True,8f9abb15c011,1
map_500_d04,maps/map_500_d04.json,500,672,0.00269,3,3,224,224,80.54,215,173.4,4,4,0.955,224,224,224,78.53,159.07,3,3,1.0,1.0,1.0,False,46e1610810ce,1
map_500_d04_predation,maps/map_500_d04_predation.json,500,672,0.00269,3,3,224,224,80.54,215,173.4,4,4,0.955,224,224,224,78.53,159.07,3,3,1.0,1.0,1.0,True,46e1610810ce,1
map_500_d05,maps/map_500_d05.json,500,672,0.00269,3,3,224,224,76.47,215,206.17,4,4,0.955,224,224,224,92.3,168.78,3,3,1.0,1.0,1.0,False,b62fad612da7,1
